race_id,season,race,date,driver,team,grid,position,points,status
2025_1,2025,Australian Grand Prix,2025-03-16,NOR,McLaren,1.0,1.0,25.0,Finished
2025_1,2025,Australian Grand Prix,2025-03-16,VER,Red Bull Racing,3.0,2.0,18.0,Finished
2025_1,2025,Australian Grand Prix,2025-03-16,RUS,Mercedes,4.0,3.0,15.0,Finished
2025_1,2025,Australian Grand Prix,2025-03-16,ANT,Mercedes,16.0,4.0,12.0,Finished
2025_1,2025,Australian Grand Prix,2025-03-16,ALB,Williams,6.0,5.0,10.0,Finished
2025_1,2025,Australian Grand Prix,2025-03-16,STR,Aston Martin,13.0,6.0,8.0,Finished
2025_1,2025,Australian Grand Prix,2025-03-16,HUL,Kick Sauber,17.0,7.0,6.0,Finished
2025_1,2025,Australian Grand Prix,2025-03-16,LEC,Ferrari,7.0,8.0,4.0,Finished
2025_1,2025,Australian Grand Prix,2025-03-16,PIA,McLaren,2.0,9.0,2.0,Finished
2025_1,2025,Australian Grand Prix,2025-03-16,HAM,Ferrari,8.0,10.0,1.0,Finished
2025_1,2025,Australian Grand Prix,2025-03-16,GAS,Alpine,9.0,11.0,0.0,Finished
2025_1,2025,Australian Grand Prix,2025-03-16,TSU,Racing Bulls,5.0,12.0,0.0,Finished
2025_1,2025,Australian Grand Prix,2025-03-16,OCO,Haas F1 Team,19.0,13.0,0.0,Finished
2025_1,2025,Australian Grand Prix,2025-03-16,BEA,Haas F1 Team,20.0,14.0,0.0,Finished
2025_1,2025,Australian Grand Prix,2025-03-16,LAW,Red Bull Racing,18.0,15.0,0.0,Retired
2025_1,2025,Australian Grand Prix,2025-03-16,BOR,Kick Sauber,15.0,16.0,0.0,Retired
2025_1,2025,Australian Grand Prix,2025-03-16,ALO,Aston Martin,12.0,17.0,0.0,Retired
2025_1,2025,Australian Grand Prix,2025-03-16,SAI,Williams,10.0,18.0,0.0,Retired
2025_1,2025,Australian Grand Prix,2025-03-16,DOO,Alpine,14.0,19.0,0.0,Retired
2025_1,2025,Australian Grand Prix,2025-03-16,HAD,Racing Bulls,11.0,20.0,0.0,Retired
2025_3,2025,Japanese Grand Prix,2025-04-06,VER,Red Bull Racing,1.0,1.0,25.0,Finished
2025_3,2025,Japanese Grand Prix,2025-04-06,NOR,McLaren,2.0,2.0,18.0,Finished
2025_3,2025,Japanese Grand Prix,2025-04-06,PIA,McLaren,3.0,3.0,15.0,Finished
2025_3,2025,Japanese Grand Prix,2025-04-06,LEC,Ferrari,4.0,4.0,12.0,Finished
2025_3,2025,Japanese Grand Prix,2025-04-06,RUS,Mercedes,5.0,5.0,10.0,Finished
2025_3,2025,Japanese Grand Prix,2025-04-06,ANT,Mercedes,6.0,6.0,8.0,Finished
2025_3,2025,Japanese Grand Prix,2025-04-06,HAM,Ferrari,8.0,7.0,6.0,Finished
2025_3,2025,Japanese Grand Prix,2025-04-06,HAD,Racing Bulls,7.0,8.0,4.0,Finished
2025_3,2025,Japanese Grand Prix,2025-04-06,ALB,Williams,9.0,9.0,2.0,Finished
2025_3,2025,Japanese Grand Prix,2025-04-06,BEA,Haas F1 Team,10.0,10.0,1.0,Finished
