race_id,season,race,date,driver,team,grid,position,points,status
2024_1,2024,Bahrain Grand Prix,2024-03-02,VER,Red Bull Racing,1.0,1.0,26.0,Finished
2024_1,2024,Bahrain Grand Prix,2024-03-02,PER,Red Bull Racing,5.0,2.0,18.0,Finished
2024_1,2024,Bahrain Grand Prix,2024-03-02,SAI,Ferrari,4.0,3.0,15.0,Finished
2024_1,2024,Bahrain Grand Prix,2024-03-02,LEC,Ferrari,2.0,4.0,12.0,Finished
2024_1,2024,Bahrain Grand Prix,2024-03-02,RUS,Mercedes,3.0,5.0,10.0,Finished
2024_1,2024,Bahrain Grand Prix,2024-03-02,NOR,McLaren,7.0,6.0,8.0,Finished
2024_1,2024,Bahrain Grand Prix,2024-03-02,HAM,Mercedes,9.0,7.0,6.0,Finished
2024_1,2024,Bahrain Grand Prix,2024-03-02,PIA,McLaren,8.0,8.0,4.0,Finished
2024_1,2024,Bahrain Grand Prix,2024-03-02,ALO,Aston Martin,6.0,9.0,2.0,Finished
2024_1,2024,Bahrain Grand Prix,2024-03-02,STR,Aston Martin,12.0,10.0,1.0,Finished
2024_1,2024,Bahrain Grand Prix,2024-03-02,ZHO,Kick Sauber,17.0,11.0,0.0,Lapped
2024_1,2024,Bahrain Grand Prix,2024-03-02,MAG,Haas F1 Team,15.0,12.0,0.0,Lapped
2024_1,2024,Bahrain Grand Prix,2024-03-02,RIC,RB,14.0,13.0,0.0,Lapped
2024_1,2024,Bahrain Grand Prix,2024-03-02,TSU,RB,11.0,14.0,0.0,Lapped
2024_1,2024,Bahrain Grand Prix,2024-03-02,ALB,Williams,13.0,15.0,0.0,Lapped
2024_1,2024,Bahrain Grand Prix,2024-03-02,HUL,Haas F1 Team,10.0,16.0,0.0,Lapped
2024_1,2024,Bahrain Grand Prix,2024-03-02,OCO,Alpine,19.0,17.0,0.0,Lapped
2024_1,2024,Bahrain Grand Prix,2024-03-02,GAS,Alpine,20.0,18.0,0.0,Lapped
2024_1,2024,Bahrain Grand Prix,2024-03-02,BOT,Kick Sauber,16.0,19.0,0.0,Lapped
2024_1,2024,Bahrain Grand Prix,2024-03-02,SAR,Williams,18.0,20.0,0.0,Lapped
2024_2,2024,Saudi Arabian Grand Prix,2024-03-09,VER,Red Bull Racing,1.0,1.0,25.0,Finished
2024_2,2024,Saudi Arabian Grand Prix,2024-03-09,PER,Red Bull Racing,3.0,2.0,18.0,Finished
2024_2,2024,Saudi Arabian Grand Prix,2024-03-09,LEC,Ferrari,2.0,3.0,16.0,Finished
2024_2,2024,Saudi Arabian Grand Prix,2024-03-09,PIA,McLaren,5.0,4.0,12.0,Finished
2024_2,2024,Saudi Arabian Grand Prix,2024-03-09,ALO,Aston Martin,4.0,5.0,10.0,Finished
2024_2,2024,Saudi Arabian Grand Prix,2024-03-09,RUS,Mercedes,7.0,6.0,8.0,Finished
2024_2,2024,Saudi Arabian Grand Prix,2024-03-09,BEA,Ferrari,11.0,7.0,6.0,Finished
2024_2,2024,Saudi Arabian Grand Prix,2024-03-09,NOR,McLaren,6.0,8.0,4.0,Finished
2024_2,2024,Saudi Arabian Grand Prix,2024-03-09,HAM,Mercedes,8.0,9.0,2.0,Finished
2024_2,2024,Saudi Arabian Grand Prix,2024-03-09,HUL,Haas F1 Team,15.0,10.0,1.0,Finished
2024_2,2024,Saudi Arabian Grand Prix,2024-03-09,ALB,Williams,12.0,11.0,0.0,Finished
2024_2,2024,Saudi Arabian Grand Prix,2024-03-09,MAG,Haas F1 Team,13.0,12.0,0.0,Finished
2024_2,2024,Saudi Arabian Grand Prix,2024-03-09,OCO,Alpine,17.0,13.0,0.0,Lapped
2024_2,2024,Saudi Arabian Grand Prix,2024-03-09,SAR,Williams,19.0,14.0,0.0,Lapped
2024_2,2024,Saudi Arabian Grand Prix,2024-03-09,TSU,RB,9.0,15.0,0.0,Lapped
2024_2,2024,Saudi Arabian Grand Prix,2024-03-09,RIC,RB,14.0,16.0,0.0,Lapped
2024_2,2024,Saudi Arabian Grand Prix,2024-03-09,BOT,Kick Sauber,16.0,17.0,0.0,Lapped
2024_2,2024,Saudi Arabian Grand Prix,2024-03-09,ZHO,Kick Sauber,20.0,18.0,0.0,Lapped
2024_2,2024,Saudi Arabian Grand Prix,2024-03-09,STR,Aston Martin,10.0,19.0,0.0,Retired
2024_2,2024,Saudi Arabian Grand Prix,2024-03-09,GAS,Alpine,18.0,20.0,0.0,Retired
