race_id,season,race,date,driver,team,grid,position,points,status
2026_1,2026,Australian Grand Prix,2026-03-08,RUS,Mercedes,1.0,1.0,25.0,Finished
2026_1,2026,Australian Grand Prix,2026-03-08,ANT,Mercedes,2.0,2.0,18.0,Finished
2026_1,2026,Australian Grand Prix,2026-03-08,LEC,Ferrari,4.0,3.0,15.0,Finished
2026_1,2026,Australian Grand Prix,2026-03-08,HAM,Ferrari,7.0,4.0,12.0,Finished
2026_1,2026,Australian Grand Prix,2026-03-08,NOR,McLaren,6.0,5.0,10.0,Finished
2026_1,2026,Australian Grand Prix,2026-03-08,PIA,McLaren,5.0,18.0,0.0,Retired
2026_1,2026,Australian Grand Prix,2026-03-08,VER,Red Bull Racing,20.0,6.0,8.0,Finished
2026_1,2026,Australian Grand Prix,2026-03-08,HAD,Red Bull Racing,3.0,21.0,0.0,Retired
2026_1,2026,Australian Grand Prix,2026-03-08,ALO,Aston Martin,21.0,20.0,0.0,Retired
2026_1,2026,Australian Grand Prix,2026-03-08,STR,Aston Martin,19.0,19.0,0.0,Retired
2026_1,2026,Australian Grand Prix,2026-03-08,ALB,Williams,14.0,12.0,0.0,Finished
2026_1,2026,Australian Grand Prix,2026-03-08,SAI,Williams,16.0,15.0,0.0,Finished
2026_1,2026,Australian Grand Prix,2026-03-08,GAS,Alpine,12.0,10.0,1.0,Finished
2026_1,2026,Australian Grand Prix,2026-03-08,COL,Alpine,15.0,14.0,0.0,Finished
2026_1,2026,Australian Grand Prix,2026-03-08,OCO,Haas F1 Team,13.0,11.0,0.0,Finished
2026_1,2026,Australian Grand Prix,2026-03-08,BEA,Haas F1 Team,11.0,7.0,6.0,Finished
2026_1,2026,Australian Grand Prix,2026-03-08,LAW,Racing Bulls,8.0,13.0,0.0,Finished
2026_1,2026,Australian Grand Prix,2026-03-08,LIN,Racing Bulls,9.0,8.0,4.0,Finished
2026_1,2026,Australian Grand Prix,2026-03-08,HUL,Audi,22.0,22.0,0.0,Retired
2026_1,2026,Australian Grand Prix,2026-03-08,BOR,Audi,10.0,9.0,2.0,Finished
2026_1,2026,Australian Grand Prix,2026-03-08,PER,Cadillac,17.0,16.0,0.0,Finished
2026_1,2026,Australian Grand Prix,2026-03-08,BOT,Cadillac,18.0,17.0,0.0,Finished
2026_2,2026,Chinese Grand Prix,2026-03-15,RUS,Mercedes,2.0,2.0,18.0,Finished
2026_2,2026,Chinese Grand Prix,2026-03-15,ANT,Mercedes,1.0,1.0,25.0,Finished
2026_2,2026,Chinese Grand Prix,2026-03-15,LEC,Ferrari,4.0,4.0,12.0,Finished
2026_2,2026,Chinese Grand Prix,2026-03-15,HAM,Ferrari,3.0,3.0,15.0,Finished
2026_2,2026,Chinese Grand Prix,2026-03-15,NOR,McLaren,6.0,20.0,0.0,Retired
2026_2,2026,Chinese Grand Prix,2026-03-15,PIA,McLaren,5.0,19.0,0.0,Retired
2026_2,2026,Chinese Grand Prix,2026-03-15,VER,Red Bull Racing,8.0,5.0,10.0,Finished
2026_2,2026,Chinese Grand Prix,2026-03-15,HAD,Red Bull Racing,9.0,6.0,8.0,Finished
2026_2,2026,Chinese Grand Prix,2026-03-15,ALO,Aston Martin,15.0,14.0,0.0,Finished
2026_2,2026,Chinese Grand Prix,2026-03-15,STR,Aston Martin,16.0,15.0,0.0,Finished
2026_2,2026,Chinese Grand Prix,2026-03-15,ALB,Williams,18.0,9.0,2.0,Finished
2026_2,2026,Chinese Grand Prix,2026-03-15,SAI,Williams,11.0,10.0,1.0,Finished
2026_2,2026,Chinese Grand Prix,2026-03-15,GAS,Alpine,7.0,8.0,4.0,Finished
2026_2,2026,Chinese Grand Prix,2026-03-15,COL,Alpine,14.0,13.0,0.0,Finished
2026_2,2026,Chinese Grand Prix,2026-03-15,OCO,Haas F1 Team,12.0,11.0,0.0,Finished
2026_2,2026,Chinese Grand Prix,2026-03-15,BEA,Haas F1 Team,10.0,7.0,6.0,Finished
2026_2,2026,Chinese Grand Prix,2026-03-15,LAW,Racing Bulls,13.0,12.0,0.0,Finished
2026_2,2026,Chinese Grand Prix,2026-03-15,LIN,Racing Bulls,21.0,21.0,0.0,Retired
2026_2,2026,Chinese Grand Prix,2026-03-15,HUL,Audi,17.0,16.0,0.0,Finished
2026_2,2026,Chinese Grand Prix,2026-03-15,BOR,Audi,19.0,17.0,0.0,Finished
