race_id,season,race,date,driver,team,grid,position,points,status
2023_1,2023,Bahrain Grand Prix,2023-03-05,VER,Red Bull Racing,1.0,1.0,25.0,Finished
2023_1,2023,Bahrain Grand Prix,2023-03-05,PER,Red Bull Racing,2.0,2.0,18.0,Finished
2023_1,2023,Bahrain Grand Prix,2023-03-05,ALO,Aston Martin,5.0,3.0,15.0,Finished
2023_1,2023,Bahrain Grand Prix,2023-03-05,SAI,Ferrari,4.0,4.0,12.0,Finished
2023_1,2023,Bahrain Grand Prix,2023-03-05,HAM,Mercedes,7.0,5.0,10.0,Finished
2023_1,2023,Bahrain Grand Prix,2023-03-05,STR,Aston Martin,8.0,6.0,8.0,Finished
2023_1,2023,Bahrain Grand Prix,2023-03-05,RUS,Mercedes,6.0,7.0,6.0,Finished
2023_1,2023,Bahrain Grand Prix,2023-03-05,BOT,Alfa Romeo,12.0,8.0,4.0,Finished
2023_1,2023,Bahrain Grand Prix,2023-03-05,GAS,Alpine,20.0,9.0,2.0,Finished
2023_1,2023,Bahrain Grand Prix,2023-03-05,ALB,Williams,15.0,10.0,1.0,Finished
2023_1,2023,Bahrain Grand Prix,2023-03-05,TSU,AlphaTauri,14.0,11.0,0.0,Finished
2023_1,2023,Bahrain Grand Prix,2023-03-05,SAR,Williams,16.0,12.0,0.0,Lapped
2023_1,2023,Bahrain Grand Prix,2023-03-05,MAG,Haas F1 Team,17.0,13.0,0.0,Lapped
2023_1,2023,Bahrain Grand Prix,2023-03-05,DEV,AlphaTauri,19.0,14.0,0.0,Lapped
2023_1,2023,Bahrain Grand Prix,2023-03-05,HUL,Haas F1 Team,10.0,15.0,0.0,Lapped
2023_1,2023,Bahrain Grand Prix,2023-03-05,ZHO,Alfa Romeo,13.0,16.0,0.0,Lapped
2023_1,2023,Bahrain Grand Prix,2023-03-05,NOR,McLaren,11.0,17.0,0.0,Lapped
2023_1,2023,Bahrain Grand Prix,2023-03-05,OCO,Alpine,9.0,18.0,0.0,Retired
2023_1,2023,Bahrain Grand Prix,2023-03-05,LEC,Ferrari,3.0,19.0,0.0,Retired
2023_1,2023,Bahrain Grand Prix,2023-03-05,PIA,McLaren,18.0,20.0,0.0,Retired
2023_2,2023,Saudi Arabian Grand Prix,2023-03-19,PER,Red Bull Racing,1.0,1.0,25.0,Finished
2023_2,2023,Saudi Arabian Grand Prix,2023-03-19,VER,Red Bull Racing,15.0,2.0,19.0,Finished
2023_2,2023,Saudi Arabian Grand Prix,2023-03-19,ALO,Aston Martin,2.0,3.0,15.0,Finished
2023_2,2023,Saudi Arabian Grand Prix,2023-03-19,RUS,Mercedes,3.0,4.0,12.0,Finished
2023_2,2023,Saudi Arabian Grand Prix,2023-03-19,HAM,Mercedes,7.0,5.0,10.0,Finished
2023_2,2023,Saudi Arabian Grand Prix,2023-03-19,SAI,Ferrari,4.0,6.0,8.0,Finished
